"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"b_s",1.51080866845154,1.54584196049148,1.65565926998426,1.66981907742456,1.6480598837127,1.52614211187203,1.47469467301015,1.55146739589009,1.511586537977,1.51233195285908,1.54286923988539,1.59223921352746,1.54617964169335,1.48496348681181,1.77704444080297,1.82617787481367,1.56896529353702,1.33413941724183,1.6531205735178,1.37204837119358,1.98768418270591,1.56522305092525,1.59932533650592,1.7005644859959,1.4371984562109,1.54283396293281,1.42090045512824,1.58046802607748,1.43349800335484,1.73272027767625,1.50786984973208,1.54238772250485,1.47270562693158,1.38958711021427,1.81814622309633,1.57618990237495,2.00613278474475,1.50452355944451,1.42148218819152,1.65677103334111,1.59319658191325,1.4848042277023,1.73475976549848,1.81076746998379,1.58549312539707,1.6682064115152,1.6161274255433,1.61874363058628,1.42140220619602,1.66078951808368
"2.5%",0.453105940857329,0.502904898383718,0.63107118430931,0.674674092896798,0.626393758516782,0.478400285426658,0.48935524102563,0.472560863121185,0.500588658119159,0.464468465880275,0.497323914535494,0.562009462437517,0.555168831541626,0.459186536547059,0.670506704235588,0.796640248839229,0.54010504004589,0.318675052824031,0.618354025926881,0.356302120986006,0.966898082033858,0.498580241988271,0.549575465992507,0.670945595064223,0.382822034147107,0.559118613876937,0.429028253228772,0.570119471887394,0.406589821638484,0.69444217579942,0.464832409318064,0.527714970574712,0.413078497673079,0.366550687676956,0.757418901824141,0.502035699484496,0.960357856113255,0.519221567859156,0.411623418386783,0.652242265789376,0.558704897239951,0.467899375568987,0.678047299173288,0.826764706993372,0.579141867068732,0.61040973328548,0.605974608650504,0.536054445520609,0.441109518916929,0.633874693731763
"97.5%",2.59690034331277,2.59283501779371,2.70741610533862,2.73717109424998,2.76924309382349,2.58035009204735,2.48622301547371,2.62874726424895,2.5563415423244,2.60782177866903,2.62787618309857,2.66950330602099,2.60264669598199,2.5213465941604,2.88073439033907,2.94487170293789,2.61082231508495,2.38314682654686,2.77151331861709,2.43782486116092,3.02573787981083,2.6402579897171,2.65100567515611,2.73377725437736,2.49824031245904,2.53773064966133,2.4751260924751,2.65223308200934,2.51459262652388,2.84085093854742,2.57323187125383,2.62023578805115,2.53216980946061,2.49760292985337,2.89289256077069,2.64448858645868,3.07205206700653,2.48077924473047,2.51900342329245,2.76074408232867,2.64130758670354,2.54253368573886,2.73755711493839,2.87577874091966,2.6617655141956,2.71170931145439,2.67879892848584,2.72382209187894,2.42224791967969,2.75079358738054
