"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"b_s",1.62130676203377,1.91293501774028,1.67840713730528,1.54778494479414,1.74155701786103,1.73218168909356,1.61522322923722,1.61278503371307,1.65878393179908,1.33837208506425,1.4033282213178,1.58085383793147,1.59384298348599,1.99321152171091,1.65939945718401,1.78735536974393,1.56839279759971,1.57823372172342,1.63714190018798,1.57897847548531,1.64797832720249,1.83833246643521,1.58732746981243,1.58516238461157,1.44548097132323,1.52895462735189,2.01498816476294,1.59422683407215,1.53320385540341,1.61885998465999,2.08691061190153,1.78079946546445,1.72997444854929,1.56737228851729,1.6105873604166,1.56923877760154,1.58764506204724,1.78455427303832,1.60050929737628,1.65689610518866,1.71224207590942,1.65574561632503,1.79396179950769,1.9749272705943,1.56158440726091,1.59396555609015,1.67063910666249,1.56432877762937,1.87018472132255,1.77391481577133
"2.5%",0.573560982698946,0.822212627385133,0.633235177537921,0.514116065100477,0.689716084533867,0.73127519956966,0.591641435858046,0.609373725571312,0.572657302089067,0.29622911330791,0.373322593346652,0.55839537433445,0.611423353243624,0.978553793055629,0.605095991269548,0.707455916413603,0.493345619702854,0.561004261362162,0.643427633395121,0.577664710129478,0.562525747108461,0.80317156433353,0.608413987791572,0.547896938637028,0.417339289899526,0.490399565424328,0.92632313704992,0.569999727518184,0.468519106278991,0.590660147029249,1.03627749283935,0.741421345197436,0.702084232828269,0.5367310432979,0.593615162033427,0.566970987013917,0.526727229639772,0.751893997640834,0.57143359940228,0.622898504022394,0.672026544681461,0.614969949952123,0.819398802719519,0.928110126969865,0.563715743942847,0.558536329468702,0.616941488604559,0.539888543711294,0.850620043729626,0.739641993443635
"97.5%",2.69304144195592,3.07659959917728,2.75273875330139,2.56840301656067,2.83440719825249,2.80351784978669,2.68094662378542,2.64085847893075,2.78627384777513,2.45075696465227,2.41031169039279,2.69998324743886,2.655707849908,3.07246521804951,2.71509340448826,2.86559937470138,2.61313977873772,2.64817206919203,2.66608377841602,2.67381065441552,2.71043913233558,2.96063693125762,2.61626234841558,2.69190240876073,2.52712482526909,2.57764483637587,3.11931363437715,2.65047503479068,2.57532711127146,2.72965859674665,3.186536503781,2.79158275018677,2.77532594747873,2.64430060112688,2.68173777020138,2.60621511437041,2.67223726175304,2.87059719012965,2.65023442786098,2.71342574118976,2.74611369911717,2.78644780629435,2.84365302893541,3.08099089075867,2.60131318001519,2.63878156784587,2.7455632104058,2.57119757663256,2.88040103381256,2.80878266491043
