"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"b_s",2.07310202491489,2.33842174579347,3.095506375587,2.5109459823698,2.05921048221844,2.41130586716109,1.86313657378256,3.06790246402995,1.96852265344173,2.07495821754116,2.06034223601454,2.57879104028038,1.99140189904366,2.71690131449844,2.46882966913966,2.09016024667304,1.93698932548322,2.14177904048479,2.45234461946915,2.01159352127799,2.06887095759399,2.00749907900403,2.52392155115381,2.09745797789596,2.01649659751168,2.3147336100746,2.1904355256288,2.06231590839639,2.15511905092288,1.97553137011402,2.67029014918997,2.49531968138979,2.3619282043322,2.65672072840638,2.50542497976065,2.18182647768206,2.07915037094552,2.16705142152157,2.15824500321656,2.38501534379257,2.38655362293304,2.13604945127487,2.30265585999221,2.38508003331485,2.23614456960313,1.91636500536492,2.22766406299872,2.57014315753333,2.10378996480252,2.05064276838835
"2.5%",1.0098835634136,1.22540478483669,1.76131712405197,1.32926565349211,0.96705983100354,1.32625011353264,0.787756087674862,1.71037614533225,0.966536681185128,0.986424338249008,0.995424697109678,1.39150212571681,0.892751238444161,1.52781286139267,1.32887168212156,1.06731842375879,0.888012171853438,1.11061889243157,1.38355606026119,0.910830917780712,0.994413657358875,0.955130879309882,1.30978446492584,1.0097668581784,0.960487805884678,1.20084679922806,1.12022837483124,1.02877552316373,1.15206284585967,0.921036510214343,1.49298101699911,1.36159102662534,1.23108512160423,1.43154230117847,1.3395189603553,1.14597222314628,1.02616600573758,1.05648870238433,1.0483770428555,1.23139068819129,1.29624311374761,1.09045980461331,1.13051576588967,1.15678436096432,1.14185319795515,0.827831406095337,1.20102480144891,1.44342661439189,1.05759640078931,0.951854346763917
"97.5%",3.21964241164617,3.51445028406169,4.57764065534307,3.82338742699678,3.25301822780253,3.62433255130337,2.89406409160634,4.61790173609204,3.04095000585387,3.21652839616636,3.23405633481783,3.91161886848326,3.13642130909902,4.02021358967874,3.66335960105027,3.20055167099916,3.08574744795265,3.20248979268018,3.55815614115365,3.16440667339133,3.20046826494876,3.13933515454928,3.8977122356372,3.22476838920358,3.14743605442651,3.49130192450682,3.36623463925305,3.15221276877298,3.27835297132702,3.0678077172939,3.97167671053853,3.67504199435689,3.57654670916602,4.01200195688026,3.74753721781496,3.25911044450711,3.16672541760432,3.34657177558022,3.31991566155232,3.64130284991867,3.53843084673296,3.24913351814246,3.46504023941938,3.72030152917598,3.31313772116968,3.08382577478019,3.32406926454583,3.76821890862609,3.28242916764596,3.18767578730211
